hospital_id,hospital_name,chain,city,state,city_tier,latitude,longitude,nabh_accredited,jci_accredited,rating,review_score,total_reviews,beds,icu_beds,opd_per_day,occupancy_rate,avg_wait_time_min,avg_length_of_stay_days,emergency_24x7,ambulance_available,cashless_insurance,ct_mri_available,inhouse_critical_care,consultation_fee_inr,year_established,ownership_type,specializations
hosp_038,Aster Institute of Medical Sciences,Aster,Ahmedabad,Gujarat,tier2,22.97188,72.543492,true,false,4.5,0.84,9868,446,58,1140,0.66,69,4.9,true,true,true,false,true,650,2023,private,pediatrics|cardiology|general_surgery|urology|oncology
hosp_039,Kokilaben Multispeciality Hospital,Kokilaben,Jaipur,Rajasthan,tier2,26.845974,75.797672,false,false,4.7,0.81,9887,519,79,1532,0.57,58,3.8,true,false,true,true,true,700,2016,private,nephrology|orthopedics|neurology
hosp_040,Lifeline Care Hospital,Lifeline,Lucknow,Uttar Pradesh,tier2,26.79339,80.95592,false,false,4.6,0.75,9742,340,61,357,0.49,35,3.3,true,true,true,true,true,500,2020,private,urology|cardiology|neurology
hosp_041,Care Hospitals,Care,Nagpur,Maharashtra,tier2,21.093006,79.110754,false,false,3,0.89,4785,802,42,211,0.56,40,4.2,false,true,true,true,true,120,1971,public,ent|cardiology|gynecology|pulmonology
hosp_042,Park Hospital,Park,Indore,Madhya Pradesh,tier2,22.731906,75.843727,false,false,3.6,0.93,4302,1009,49,1133,0.64,42,4.4,true,true,true,true,false,60,1998,public,cardiology|orthopedics|gastroenterology
hosp_043,Cloudnine Institute of Medical Sciences,Cloudnine,Coimbatore,Tamil Nadu,tier2,10.97575,76.950113,false,false,3.8,0.73,1402,791,105,250,0.63,28,1.5,true,true,true,true,true,1000,2008,private,cardiology|orthopedics|gastroenterology
hosp_044,Sahyadri Multispeciality Hospital,Sahyadri,Surat,Gujarat,tier2,21.179107,72.790696,true,false,4.7,0.85,1943,800,98,1144,0.75,55,3.5,true,false,false,false,true,700,1986,private,cardiology|neurology|pediatrics|nephrology
hosp_045,Medicover Care Hospital,Medicover,Bhopal,Madhya Pradesh,tier3,23.246036,77.432531,false,false,4,0.83,8063,587,68,728,0.76,25,4.2,true,true,true,false,false,800,2001,private,nephrology|neurology|cardiology
hosp_046,Spandan Hospitals,Spandan,Mumbai,Maharashtra,metro,19.055242,72.87264,false,false,3,0.81,16102,1047,43,1156,0.62,64,4.7,true,false,true,false,true,60,2004,public,pediatrics|general_surgery|ophthalmology
hosp_047,Vijaya Hospital,Vijaya,Delhi,Delhi,metro,28.600401,77.176728,false,false,4.1,0.75,9782,416,49,1084,0.75,81,3.1,true,true,true,true,true,550,1998,trust,cardiology|ent|gynecology|neurology|pediatrics
hosp_048,Metro Institute of Medical Sciences,Metro,Bengaluru,Karnataka,metro,12.947551,77.556361,false,false,3.3,0.86,23263,563,22,1373,0.78,76,1.2,false,false,true,true,false,160,1996,public,dermatology|pulmonology|orthopedics|gynecology|nephrology
hosp_049,Apollo Multispeciality Hospital,Apollo,Hyderabad,Telangana,metro,17.390119,78.469887,true,true,4,0.71,16887,393,49,764,0.65,55,2.6,true,true,true,false,false,650,2000,private,cardiology|ophthalmology|orthopedics|oncology
hosp_050,Fortis Care Hospital,Fortis,Chennai,Tamil Nadu,metro,13.059,80.274598,true,false,4.3,0.83,14980,694,75,521,0.83,53,4.3,true,true,true,false,false,1000,2006,private,general_surgery|dermatology|gynecology|nephrology|cardiology|oncology
hosp_051,Manipal Hospitals,Manipal,Kolkata,West Bengal,metro,22.580786,88.375291,true,false,4,0.66,21614,127,13,786,0.8,44,5,true,true,true,true,false,650,2011,private,oncology|neurology|pulmonology|urology
hosp_052,Max Hospital,Max,Pune,Maharashtra,tier2,18.468965,73.835285,true,true,4.8,0.85,15463,803,92,566,0.66,31,3.8,false,true,false,true,true,500,1992,private,ent|general_surgery|neurology|cardiology
hosp_053,Narayana Institute of Medical Sciences,Narayana,Ahmedabad,Gujarat,tier2,23.10362,72.583227,true,false,4.8,0.76,4254,831,103,361,0.62,39,4.3,true,false,true,true,true,700,2022,private,gynecology|orthopedics|nephrology|pediatrics
hosp_054,Aster Multispeciality Hospital,Aster,Jaipur,Rajasthan,tier2,26.919433,75.731425,false,false,2.9,0.8,7222,1379,94,479,0.72,57,3.2,true,true,true,true,true,120,1980,public,pediatrics|urology|orthopedics|gastroenterology|general_surgery
hosp_055,Kokilaben Care Hospital,Kokilaben,Lucknow,Uttar Pradesh,tier2,26.84928,80.922379,true,false,4.8,0.79,11271,619,71,1563,0.45,65,4.2,true,false,true,true,true,800,1994,private,cardiology|pulmonology|gynecology|gastroenterology
hosp_056,Lifeline Hospitals,Lifeline,Nagpur,Maharashtra,tier2,21.149946,79.082351,false,false,4.4,0.95,6727,164,21,1026,0.54,67,4.1,true,true,false,false,true,700,1997,private,cardiology|orthopedics|nephrology
hosp_057,Care Hospital,Care,Indore,Madhya Pradesh,tier2,22.704803,75.915761,true,true,4.5,0.71,7431,493,57,489,0.51,82,3.5,false,true,true,true,false,1000,1994,private,gastroenterology|nephrology|neurology|gynecology|orthopedics|ophthalmology
hosp_058,Park Institute of Medical Sciences,Park,Coimbatore,Tamil Nadu,tier2,11.011509,76.935047,true,false,4.7,0.84,1903,742,127,527,0.9,47,4.7,true,true,false,false,false,950,1992,private,ophthalmology|urology|cardiology|neurology|orthopedics|gastroenterology
hosp_059,Cloudnine Multispeciality Hospital,Cloudnine,Surat,Gujarat,tier2,21.203893,72.82975,false,false,4.7,0.82,5678,523,61,278,0.82,22,3.8,false,true,true,true,false,500,2015,private,ophthalmology|pulmonology|neurology|pediatrics|orthopedics|cardiology
hosp_060,Sahyadri Care Hospital,Sahyadri,Bhopal,Madhya Pradesh,tier3,23.290727,77.382051,true,true,3.9,0.77,2524,187,24,751,0.76,72,3.4,true,true,false,false,true,450,2020,private,nephrology|pediatrics|dermatology|pulmonology|gastroenterology|oncology
